id,callsign,tgid
2289,Svizzera orientale,2289
22801,UA 1,22801
22802,UA 2,22802
22803,UA 3,22803
22804,UA 4,22804
22810,HB9-BM-WIRESX (Node 27628),22810
22811,WIRESX HB9VD-ROOM (Node 27095),22811
22812,Geneve,22812
22815,Neuchatel,22815
22817,Friburg,22817
22822,XLX229 modulo D,22822
22823,XLX229 modulo G,22823
22824,XLX328 modulo A - AllStar 538451,22824
22825,XLX328 modulo F,22825
22826,WIRESX HB9T (Node 47052),22826
22877,Poschiavo,22877
214,National (P),214
2141,ZONE 1 EA,2141
2142,ZONE 2 EA,2142
2143,ZONE 3 EA,2143
2144,ZONE 4 EA,2144
2145,ZONE 5 EA,2145
2146,ZONE 6 EA,2146
2147,ZONE 7 EA,2147
2148,ZONE 8 EA,2148
2149,ZONE 9 EA,2149
21499,Radioaficionados ARAGON,21499
21411,URE SEC.COMARCAL  S.FERNANDO CADIZ ,21411
21460,CERT-SPAIN,21460
21461,Multiprotocol DMR / NXDN / FUSION / DSTAR / P25,21461
214091,ARSA-CNP,214091
214112,EMERGENCY,214112
226,Romania National,226
2260,Romania Chatter,2260
2262,Romania District YO2,2262
2263,Romania District YO3,2263
2264,Romania District YO4,2264
2265,Romania District YO5,2265
2266,Romania District YO6,2266
2267,Romania District YO7,2267
2268,Romania District YO8,2268
2269,Romania District YO9,2269
22601,Romania D-Star YO,22601
22602,Romania SVXLink Bridge,22602
22603,Romania RoLink Bridge,22603
22604,Romania SvxNet Bridge,22604
22605,Romania Maramures County,22605
226999,Romania Parrot,226999
647,Reunion ,647
330,National,330
3300,PR00,3300
3301,PR01,3301
3302,PR02,3302
3303,PR03,3303
3304,PR04,3304
3305,PR05,3305
3306,PR06,3306
3307,PR07,3307
3308,PR08,3308
3309,PR09,3309
33010,PR10,33010
33011,PR11,33011
33012,PR12,33012
33013,PR13,33013
33014,PR14,33014
33015,PR15,33015
33016,PR16,33016
33017,PRNet,33017
33018,PR018,33018
33019,PR019,33019
33020,PR020,33020
268,Portugal_National,268
2681,Norte,2681
2682,Centro,2682
2683,Capital,2683
2684,Alentejo,2684
2685,Algarve,2685
2686,Azores,2686
2687,Madeira Is.,2687
2688,Infos,2688
260,Poland HBLink,260
26000,Techniczna,26000
260201,Chojnice,260201
260202,ChojniceII,260202
260203,Bydgoszcz,260203
260401,Białystok,260401
260501,Warszawa,260501
260525,Kadzidło,260525
260601,Wrocław,260601
260701,Łódź,260701
260778,Kutno,260778
260901,Tarnów,260901
260902,Kraków,260902
260903,Zakopane,260903
260909,Silesia,260909
260911,Jastrzębie Zdrój,260911
260928,Orzesze,260928
716,Peru,716
7160,Peru Digital / XLX716 C,7160
7161,Peru Zona OA1,7161
7162,Peru Zona OA2,7162
7163,Peru Zona OA3,7163
7164,Peru Zona OA4,7164
7165,Peru Zona OA5,7165
7166,Peru Zona OA6,7166
7167,Peru Zona OA7,7167
7168,Peru Zona OA8,7168
7169,Peru Zona OA9,7169
714,Panama National,714
7143,Panama WiresX,7143
7144,Chiriqui Link,7144
71441,Chiriqui-Echolink,71441
7145,GREMPA,7145
7146,UPRA,7146
7148,Radio Club Panama,7148
7149,Panamá Scouts,7149
71410,Trx West,71410
714911,Emergencia Panama,714911
710,Nacional,710
7101,Zona YN1,7101
7102,Zona YN2,7102
7103,Zona YN3,7103
7104,Zona YN4,7104
7105,Zona YN5,7105
71000,XLX711 A,71000
710411,Punto de Encuentro Interno,710411
710911,Emergencia Nacional,710911
530,ZL National,530
5301,ZL 1 Region,5301
5302,ZL 2 Region,5302
5303,ZL 3 Region,5303
5304,ZL 4 Region,5304
53020,CQ-UK link / XLX750 A,53020
53029,XLX299 X,53029
53050,XLX750 C,53050
53060,Taupo Amateur Radio Club,53060
53099,XLX750 D (P),53099
530287,XLX287 A (P),530287
530530,XLX750 S (P),530530
204,Nederlands-National,204
20400,Nederlands-Gateway,20400
20401,Nederlands-Drenthe,20401
20402,Nederlands-Flevoland,20402
20403,Nederlands-Friesland,20403
20404,Nederlands-Gelderland,20404
20405,Nederlands-Groningen,20405
20406,Nederlands-Limburg,20406
20407,Nederlands-Noord Brabant,20407
20408,Nederlands-Noord Holland,20408
20409,Nederlands-Overijssel,20409
20410,Nederlands-Zuid Holland,20410
20411,Nederlands-Utrecht,20411
204112,Nederlands-Emergency,204112
604,Morocco-National,604
6041,Cross Mode DMR = ANALOGUE,6041
60401,DMR-MAROC,60401
60410,EL Jadida,60410
334,National,334
3341,XE1 Zone,3341
3342,XE2 Zone,3342
3343,XE3 Zone,3343
3349,W Zone,3349
3340,Second National ,3340
33450,FMRE,33450
33451,ARAM,33451
33455,Experimentation,33455
33456,DXCC,33456
33457,Scouts and Jamboree JOTA/JOTI,33457
33401,Aguascalientes,33401
33402,Baja California Norte ,33402
33403,Baja California Sur,33403
33404,Campeche,33404
33405,Coahuila,33405
33406,Colima ,33406
33407,Chiapas,33407
33408,Chihuahua,33408
33409,CDMX/DF,33409
33410,Durango,33410
33411,Guanajuato,33411
33412,Guerrero,33412
33413,Hidalgo,33413
33414,Jalisco,33414
33415,Estado de México,33415
33416,Michoacán,33416
33417,Morelos,33417
33418,Nayarit,33418
33419,Nuevo León,33419
33420,Oaxaca,33420
33421,Puebla,33421
33422,Querétaro,33422
33423,Quintana Roo,33423
33424,San Luis Potosí,33424
33425,Sinaloa,33425
33426,Sonora,33426
33427,Tabasco,33427
33428,Tamaulipas,33428
33429,Tlaxcala ,33429
33430,Veracruz ,33430
33431,Yucatán,33431
33432,Zacatecas,33432
440,Call-QSY,440
4401,Chat 1,4401
4402,Chat 2,4402
4403,Chat 3,4403
4404,Chat 4,4404
4405,Chat 5,4405
222,Italy,222
22201,Lazio,22201
22202,Sardegna,22202
22203,Umbria,22203
22211,Liguria,22211
22212,Piemonte,22212
22213,Valle D'Aosta,22213
22215,All Bridge MP,22215
22216,AllstarLink  IT,22216
22217,Local TGs,22217
22218,Local TGs,22218
22219,2007-DXGROUP,22219
22220,Conference ItalyNet,22220
22221,Lombardia,22221
22231,Friuli Venezia Giulia,22231
22232,Trentino-Alto Adige,22232
22233,Veneto,22233
22241,Emilia Romagna,22241
22251,Toscana,22251
22261,Abruzzo,22261
22262,Marche,22262
22271,Puglia,22271
22281,Basilicata,22281
22282,Calabria,22282
22283,Campania,22283
22284,Molise,22284
22291,Sicilia,22291
222958,Cluster RAD,222958
222994,Echolink Sicily Conference,222994
222995,Multi Bridge,222995
272,NRSI,272
2720,JOTA / JOTI & YOUTH,2720
